position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
137,argenta-jumpsuit,10563172696397,Argenta Ολόσωμη φόρμα,0.99,Average,yes,3840
138,fiorella-white,10810757415245,Fiorella White Dress,0.99,Average,yes,1258
139,serina,10633912582477,Serina Φόρεμα,0.99,Average,yes,4608
140,aegea-dress,10563131900237,Aegea Φόρεμα,0.97,Average,yes,4231
141,neta-top,10566385434957,Neta Τοπ,0.94,Average,yes,3741
142,eris-dress,10566174114125,Eris Φόρεμα,0.94,Average,yes,3586
143,s26-5048,10559098978637,Ariel Siren Φόρεμα ροζ,0.91,Average,yes,3979
144,aster-kimono,10559208358221,Aster Κιμονό,0.89,Average,yes,3754
145,copy-copy-73,10633890300237,Velina Φόρεμα,0.88,Average,yes,3514
146,thalia-dress,10563095920973,Thalia Φόρεμα,0.88,Average,yes,3106
147,cloe-dress,10566161531213,Cloe Φόρεμα,0.86,Average,yes,3186
148,elyra-cape,10563208315213,Elyra Κάπα,0.84,Average,yes,3260
149,irida-kimono,10730818896205,Irida Κιμονό,0.83,Average,yes,3815
150,monique-kimono,10566047891789,Monique Κιμονό,0.82,Average,yes,3169
151,oceane-jumpsuit,10563149726029,Oceane Ολόσωμη φόρμα,0.80,Average,yes,3272
152,kathy-dress,10566165856589,Kathy Φόρεμα,0.79,Average,yes,3403
153,patricia,10697411199309,Patricia Φόρεμα,0.77,Average,yes,3495
154,menda-dress,10566167626061,Menda Φόρεμα,0.72,Average,yes,3291
155,dore-dress,10564872208717,Dore Φόρεμα,0.72,Average,yes,3082
156,zaria-jumpsuit,10563145236813,Zaria Ολόσωμη φόρμα,0.69,Average,yes,2725
157,azalea-dress,10566201803085,Azalea Φόρεμα,0.66,Average,yes,2620
158,sierra-dress-1,10566111854925,Sierra Φόρεμα,0.63,Average,yes,2836
159,shona-kimono,10564823515469,Shona Κιμονό,0.61,Average,yes,2703
160,nora-1,10758774489421,Nora Φούστα,0.59,Average,yes,1648
161,calypso-shirt-blue,10559144755533,Calypso Πουκάμισο γαλάζιο,0.58,Average,yes,1768
162,midas-dress,10566098714957,Midas Φόρεμα,0.56,Average,yes,2333
163,byron-dress,10566130303309,Byron Φόρεμα,0.56,Average,yes,2682
164,astra-dress,10566182437197,Astra Φόρεμα,0.55,Average,yes,1454
165,eirys-skirt,10563065413965,Eirys Skirt,0.52,Average,yes,2016
166,sonia-dress,10564952752461,Sonia Φόρεμα,0.52,Average,yes,2508
167,livia-jumpsuit,10563137044813,Livia Ολόσωμη φόρμα,0.51,Average,yes,2017
168,krista-dress,10566185877837,Krista Φόρεμα,0.51,Average,yes,1672
169,rayne-pants,10564908613965,Rayne Παντελόνα,0.51,Average,yes,2358
170,nadia-dress,10730779771213,Nadia Φόρεμα,0.50,Average,yes,1838
171,sylla-dress,10566150095181,Sylla Φόρεμα,0.50,Average,yes,2003
172,orlaya,10641862000973,Orlaya Τοπ,0.50,Average,yes,1827
173,indira-top,10563199992141,Indira Τοπ,0.49,Low,yes,1918
174,orlaya-2,10641906958669,Orlaya Φούστα Ροζ,0.49,Low,yes,2264
175,myriam-dress,10566163464525,Myriam Φόρεμα,0.49,Low,yes,2321
176,nai-limited-dress,10571365515597,Nai LIMITED Φόρεμα,0.47,Low,yes,1841
177,norel,10634213425485,Norel Φόρεμα,0.45,Low,yes,2058
178,zoe-kimono,10564757815629,Zoe Κιμονό,0.44,Low,yes,1751
179,thetis,10730953146701,Thetis Τοπ,0.43,Low,yes,297
180,phoebe-limited-edition,10571285266765,Phoebe LIMITED Edition Φόρεμα,0.43,Low,yes,1773
181,saffron-dress,10566145638733,Saffron Φόρεμα,0.43,Low,yes,2063
182,rosea,10633906127181,Rosea Φόρεμα,0.42,Low,yes,1762
183,calypso-pants,10559196856653,Calypso Παντελόνα,0.41,Low,yes,1288
184,zaria-skirt,10563065872717,Zaria Skirt,0.40,Low,yes,1598
185,elaria-copy,10710381297997,Etoile Φόρεμα,0.39,Low,yes,1873
186,indy-top,10563435102541,Indy Τοπ,0.39,Low,yes,1665
187,mare-top,10731588223309,Mare Τοπ,0.38,Low,yes,385
188,myra-skirt,10563057189197,Myra Skirt,0.37,Low,yes,1257
189,myrielle,10657829552461,Myrielle Φόρεμα,0.37,Low,yes,1761
190,ophelia-skirt,10563290530125,Ophelia Skirt,0.36,Low,yes,926
