position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
87,nai-limited-dress,10571365515597,Nai LIMITED Φόρεμα,0.40,Low,yes,1841
88,zoe-kimono,10564757815629,Zoe Κιμονό,0.38,Low,yes,1751
89,phoebe-limited-edition,10571285266765,Phoebe LIMITED Edition Φόρεμα,0.36,Low,yes,1773
90,zaria-skirt,10563065872717,Zaria Skirt,0.35,Low,yes,1598
91,indy-top,10563435102541,Indy Τοπ,0.33,Low,yes,1665
92,ophelia-skirt,10563290530125,Ophelia Skirt,0.33,Low,yes,926
93,myra-skirt,10563057189197,Myra Skirt,0.33,Low,yes,1257
94,myrielle,10657829552461,Myrielle Φόρεμα,0.32,Low,yes,1761
95,zoe-cape,10563437789517,Zoe Κάπα,0.31,Low,yes,1297
96,zelda-dress,10564934369613,Zelda Φόρεμα,0.30,Low,yes,1415
97,livia-kimono,10564754964813,Livia Κιμονό,0.29,Low,yes,1062
98,ophelia-top,10563189473613,Ophelia Τοπ,0.24,Low,yes,862
99,zelda-kimono,10566049726797,Zelda Κιμονό,0.23,Low,yes,1059
100,arla-top,10566363447629,Arla Τοπ,0.23,Low,yes,1033
101,myra-top-1,10563042214221,Myra Τοπ,0.21,Low,yes,584
102,argenta-dress,10564890132813,Argenta Φόρεμα,0.21,Low,yes,820
103,melissa-top,10566027510093,Melissa Τοπ,0.20,Low,yes,859
104,indira-kimono,10563362685261,Indira Κιμονό,0.20,Low,yes,969
105,rhia-top,10563437035853,Rhia Τοπ,0.18,Low,yes,963
106,opal-top,10563436282189,Opal Τοπ,0.17,Low,yes,890
107,sienna-top,10566393954637,Sienna Τοπ,0.14,Low,yes,783
108,nyx-skirt,10563049128269,Nyx Skirt,0.11,Low,yes,622
109,selma-dress,10566095241549,Selma Φόρεμα,0.11,Low,yes,601
110,s26-1008,10563044606285,Eirys Τοπ,0.10,Low,yes,380
111,matilda-dress,10566105825613,Matilda Φόρεμα,0.08,Low,yes,459
112,nyx-top,10563029533005,Nyx Τοπ,0.07,Low,yes,273
