collection_handle,collection_id,collection_title,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d,position
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,ameline-skirt,10833816387917,Ameline  Skirt,0.98,New,no,520,49
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,ameline-top,10831700951373,Ameline Top,0.97,New,no,404,50
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,oriana-dress,10907702198605,Oriana Dress,0.97,New,no,58,51
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,celeste-dress-1,10847613124941,Celeste Dress,0.97,New,no,544,52
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,leonie-kimono,10833830773069,Leonie Kimono,0.95,New,no,744,53
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,elowen-top-1,10831615459661,Vespera Top,0.95,New,no,65,54
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,zafira-dress,10833902534989,Zafira Dress,0.94,New,no,705,55
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,mya-top,10831714812237,Mya Shirt,0.93,New,no,69,56
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,aviana-cape,10831648227661,Aviana  Cape,0.91,New,no,712,57
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,elara-skirt,10833813078349,Elara  Skirt,0.90,New,no,697,58
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,zafrina-dress,10834733793613,Zafrina Dress,0.88,New,no,686,59
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,amaris-top,10831673491789,Amaris Top,0.88,New,no,290,60
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,violetta-pants,10831729623373,Violetta Pants,0.88,New,no,157,61
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,leontine-jumsuit,10834723045709,Leontine Jumsuit,0.88,New,no,698,62
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,vespera-skirt,10833797644621,Vespera  Skirt,0.88,New,no,79,63
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,evania-pants,10831763931469,Evania Pants,0.88,New,no,231,64
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,jessamine-blazer,10833843290445,Jessamine Blazer,0.86,New,no,88,65
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,annelise-dress,10863625961805,Annelise Dress,0.86,New,no,607,66
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,cassia-skirt,10833817010509,Cassia  Skirt,0.85,New,no,292,67
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,aviana-limited,10833951162701,Aviana LIMITED,0.85,New,no,616,68
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,sorelia-dress,10833926947149,Sorelia Dress,0.84,New,no,217,69
